		g3log created log at: Wed Mar 25 11:51:12 2020
2020/03/25 11:51:12 682334	DEBUG	[1.000000000000s] Insert event, node=1, event_id=0, description: start udp-client application
2020/03/25 11:51:12 682367	DEBUG	[15.000000000000s] Insert event, node=1, event_id=1, description: stop udp-client application
2020/03/25 11:51:12 682383	DEBUG	[1.000000000000s] Insert event, node=2, event_id=2, description: start udp-server application
2020/03/25 11:51:12 682395	DEBUG	[15.000000000000s] Insert event, node=2, event_id=3, description: stop udp-server application
2020/03/25 11:51:12 682407	DEBUG	[1.000000000000s] Exec event, node=1, event_id=0, description: start udp-client application
2020/03/25 11:51:12 682417	DEBUG	[1.000000000000s] Insert event, node=1, event_id=4, description: Send Begin.
2020/03/25 11:51:12 682427	DEBUG	[1.000000000000s] Exec event, node=2, event_id=2, description: start udp-server application
2020/03/25 11:51:12 682437	DEBUG	[1.000000000000s] Exec event, node=1, event_id=4, description: Send Begin.
2020/03/25 11:51:12 682454	DEBUG	[1.000000091552s] Insert event, node=1, event_id=5, description: Packet TransComplete.
2020/03/25 11:51:12 682476	INFO	[1.000000000000s] client=1(10.0.0.2) send one packet to 20.0.0.2.
2020/03/25 11:51:12 682487	DEBUG	[1.001000000000s] Insert event, node=1, event_id=6, description: Send Continue.
2020/03/25 11:51:12 682497	DEBUG	[1.000000091552s] Exec event, node=1, event_id=5, description: Packet TransComplete.
2020/03/25 11:51:12 682516	DEBUG	[1.001000091552s] Insert event, node=3, event_id=7, description: Packet Receive.
2020/03/25 11:51:12 682526	DEBUG	[1.001000000000s] Exec event, node=1, event_id=6, description: Send Continue.
2020/03/25 11:51:12 682541	DEBUG	[1.001000091552s] Insert event, node=1, event_id=8, description: Packet TransComplete.
2020/03/25 11:51:12 682558	INFO	[1.001000000000s] client=1(10.0.0.2) send one packet to 20.0.0.2.
2020/03/25 11:51:12 682567	DEBUG	[1.001000091552s] Exec event, node=3, event_id=7, description: Packet Receive.
2020/03/25 11:51:12 682579	INFO	[1.001000091552s] Router=3(20.0.0.1) Route a packet, src=10.0.0.2, dst=20.0.0.2.
2020/03/25 11:51:12 682598	DEBUG	[1.001000183104s] Insert event, node=3, event_id=9, description: Packet TransComplete.
2020/03/25 11:51:12 682612	DEBUG	[1.001000091552s] Exec event, node=1, event_id=8, description: Packet TransComplete.
2020/03/25 11:51:12 682629	DEBUG	[1.002000091552s] Insert event, node=3, event_id=10, description: Packet Receive.
2020/03/25 11:51:12 682640	DEBUG	[1.001000183104s] Exec event, node=3, event_id=9, description: Packet TransComplete.
2020/03/25 11:51:12 682651	DEBUG	[1.002000183104s] Insert event, node=2, event_id=11, description: Packet Receive.
2020/03/25 11:51:12 682666	DEBUG	[1.002000091552s] Exec event, node=3, event_id=10, description: Packet Receive.
