		g3log created log at: Sun Mar 29 14:46:36 2020
2020/03/29 14:46:36 322418	DEBUG	[1.000000000000s] Insert event, node=3, event_id=0, description: start udp-server application
2020/03/29 14:46:36 322445	DEBUG	[10.000000000000s] Insert event, node=3, event_id=1, description: stop udp-server application
2020/03/29 14:46:36 322493	DEBUG	[1.000000000000s] Insert event, node=5, event_id=2, description: start udp-client application
2020/03/29 14:46:36 322503	DEBUG	[10.000000000000s] Insert event, node=5, event_id=3, description: stop udp-client application
2020/03/29 14:46:36 322523	DEBUG	[1.000000000000s] Exec event, node=3, event_id=0, description: start udp-server application
2020/03/29 14:46:36 322539	DEBUG	[1.000000000000s] Exec event, node=5, event_id=2, description: start udp-client application
2020/03/29 14:46:36 322549	DEBUG	[1.000000000000s] Insert event, node=5, event_id=4, description: Send Begin.
2020/03/29 14:46:36 322558	DEBUG	[1.000000000000s] Exec event, node=5, event_id=4, description: Send Begin.
2020/03/29 14:46:36 322573	DEBUG	[1.000000915527s] Insert event, node=5, event_id=5, description: Packet TransComplete.
2020/03/29 14:46:36 322591	INFO	[1.000000000000s] client=5(10.1.1.2) send one packet to 20.0.1.2.
2020/03/29 14:46:36 322600	DEBUG	[1.000000915527s] Exec event, node=5, event_id=5, description: Packet TransComplete.
2020/03/29 14:46:36 322611	DEBUG	[1.000010915527s] Insert event, node=4, event_id=6, description: Packet Receive.
2020/03/29 14:46:36 322666	DEBUG	[1.000010915527s] Exec event, node=4, event_id=6, description: Packet Receive.
2020/03/29 14:46:36 322693	INFO	[1.000010915527s] Router=4(10.1.1.1) Route a packet, src=10.1.1.2, dst=20.0.1.2.
2020/03/29 14:46:36 322709	DEBUG	[1.000011007079s] Insert event, node=4, event_id=7, description: Packet TransComplete.
2020/03/29 14:46:36 322722	DEBUG	[1.000011007079s] Exec event, node=4, event_id=7, description: Packet TransComplete.
2020/03/29 14:46:36 322735	DEBUG	[1.001011007079s] Insert event, node=1, event_id=8, description: Packet Receive.
2020/03/29 14:46:36 322754	DEBUG	[1.001011007079s] Exec event, node=1, event_id=8, description: Packet Receive.
2020/03/29 14:46:36 322767	INFO	[1.001011007079s] Router=1(10.1.0.1) Route a packet, src=10.1.1.2, dst=20.0.1.2.
2020/03/29 14:46:36 322787	DEBUG	[1.001011098631s] Insert event, node=1, event_id=9, description: Packet TransComplete.
2020/03/29 14:46:36 322806	DEBUG	[1.001011098631s] Exec event, node=1, event_id=9, description: Packet TransComplete.
2020/03/29 14:46:36 322820	DEBUG	[1.001111098631s] Insert event, node=2, event_id=10, description: Packet Receive.
2020/03/29 14:46:36 322837	DEBUG	[1.001111098631s] Exec event, node=2, event_id=10, description: Packet Receive.
2020/03/29 14:46:36 322850	INFO	[1.001111098631s] Router=2(20.0.1.1) Route a packet, src=10.1.1.2, dst=20.0.1.2.
2020/03/29 14:46:36 322870	DEBUG	[1.001112014158s] Insert event, node=2, event_id=11, description: Packet TransComplete.
2020/03/29 14:46:36 322881	DEBUG	[1.001112014158s] Exec event, node=2, event_id=11, description: Packet TransComplete.
2020/03/29 14:46:36 322899	DEBUG	[1.001122014158s] Insert event, node=3, event_id=12, description: Packet Receive.
2020/03/29 14:46:36 322909	DEBUG	[1.001122014158s] Exec event, node=3, event_id=12, description: Packet Receive.
2020/03/29 14:46:36 322928	INFO	[1.001122014158s] server=3(20.0.1.2) receive one packet from 10.1.1.2, reply it.
2020/03/29 14:46:36 322946	DEBUG	[1.001122929685s] Insert event, node=3, event_id=13, description: Packet TransComplete.
2020/03/29 14:46:36 322964	DEBUG	[1.001122929685s] Exec event, node=3, event_id=13, description: Packet TransComplete.
2020/03/29 14:46:36 322976	DEBUG	[1.001132929685s] Insert event, node=2, event_id=14, description: Packet Receive.
2020/03/29 14:46:36 322995	DEBUG	[1.001132929685s] Exec event, node=2, event_id=14, description: Packet Receive.
2020/03/29 14:46:36 323008	INFO	[1.001132929685s] Router=2(20.0.1.1) Route a packet, src=20.0.1.2, dst=10.1.1.2.
2020/03/29 14:46:36 323029	DEBUG	[1.001133021237s] Insert event, node=2, event_id=15, description: Packet TransComplete.
2020/03/29 14:46:36 323039	DEBUG	[1.001133021237s] Exec event, node=2, event_id=15, description: Packet TransComplete.
2020/03/29 14:46:36 323058	DEBUG	[1.001233021237s] Insert event, node=1, event_id=16, description: Packet Receive.
2020/03/29 14:46:36 323073	DEBUG	[1.001233021237s] Exec event, node=1, event_id=16, description: Packet Receive.
2020/03/29 14:46:36 323094	INFO	[1.001233021237s] Router=1(10.1.0.1) Route a packet, src=20.0.1.2, dst=10.1.1.2.
2020/03/29 14:46:36 323109	DEBUG	[1.001233112789s] Insert event, node=1, event_id=17, description: Packet TransComplete.
2020/03/29 14:46:36 323128	DEBUG	[1.001233112789s] Exec event, node=1, event_id=17, description: Packet TransComplete.
2020/03/29 14:46:36 323141	DEBUG	[1.002233112789s] Insert event, node=4, event_id=18, description: Packet Receive.
2020/03/29 14:46:36 323160	DEBUG	[1.002233112789s] Exec event, node=4, event_id=18, description: Packet Receive.
2020/03/29 14:46:36 323180	INFO	[1.002233112789s] Router=4(10.1.1.1) Route a packet, src=20.0.1.2, dst=10.1.1.2.
2020/03/29 14:46:36 323202	DEBUG	[1.002234028316s] Insert event, node=4, event_id=19, description: Packet TransComplete.
2020/03/29 14:46:36 323212	DEBUG	[1.002234028316s] Exec event, node=4, event_id=19, description: Packet TransComplete.
2020/03/29 14:46:36 323228	DEBUG	[1.002244028316s] Insert event, node=5, event_id=20, description: Packet Receive.
2020/03/29 14:46:36 323240	DEBUG	[1.002244028316s] Exec event, node=5, event_id=20, description: Packet Receive.
2020/03/29 14:46:36 323255	INFO	[1.002244028316s] NodeId=5(10.1.1.2), Receive a packet from 20.0.1.2, msg(I get your packet).
2020/03/29 14:46:36 323265	DEBUG	[10.000000000000s] Exec event, node=3, event_id=1, description: stop udp-server application
